"","Provider.State","County","Provider.Name","WeeksofShortage_of_EP_by_Provider","WeeksofShortage_of_GL_by_Provider","WeeksofShortage_of_HS_by_Provider","WeeksofShortage_of_N95_by_Provider","WeeksofShortage_of_SM_by_Provider","WeeksofShortage_of_VT_by_Provider"
"4645","TX","Walker","FOCUSED CARE AT HUNTSVILLE",1,1,1,3,1,NA
"4646","TX","Webb","LAREDO MEDICAL CENTER",1,1,2,1,1,NA
"4647","TX","Webb","RETAMA MANOR NURSING CENTER/LAREDO-WEST",3,3,3,3,3,NA
"4648","TX","Webb","RETAMA MANOR/LAREDO SOUTH",3,3,3,3,3,NA
"4649","TX","Wharton","S.P.J.S.T. REST HOME 3",4,3,2,9,7,NA
"4650","TX","Wheeler","WHEELER NURSING & REHABILITATION",3,NA,NA,1,NA,NA
"4651","TX","Wichita","EVERGREEN HEALTHCARE CENTER",1,2,1,6,1,NA
"4652","TX","Wichita","KPC PROMISE SKILLED NURSING FACILITY OF WICHITA FA",14,1,2,NA,NA,NA
"4653","TX","Wichita","ROLLING MEADOWS",1,NA,NA,1,NA,NA
"4654","TX","Wichita","SENIOR CARE HEALTH & REHABILITATION CENTER - WICHI",3,1,NA,2,1,NA
"4655","TX","Wilbarger","VISTA LIVING OF VERNON",6,2,4,6,6,NA
"4656","TX","Willacy","RETAMA MANOR NURSING CENTER/RAYMONDVILLE",3,3,3,3,3,NA
"4657","TX","Williamson","BEL AIR AT TERAVISTA",5,NA,NA,5,NA,NA
"4658","TX","Williamson","NEW HOPE MANOR",1,1,1,1,1,NA
"4659","TX","Williamson","PARK VALLEY INN HEALTH CENTER",5,NA,NA,5,NA,NA
"4660","TX","Williamson","SAGEBROOK NURSING AND REHABILITATION",2,6,1,7,3,NA
"4661","TX","Williamson","TRINITY CARE CENTER",1,1,1,1,1,NA
"4662","TX","Wise","DECATUR MEDICAL LODGE",2,2,2,2,2,NA
"4663","TX","Wise","THE HILLS NURSING & REHABILITATION",10,NA,NA,10,NA,NA
"4664","TX","Wood","WOOD MEMORIAL NURSING AND REHABILITATION CENTER",5,5,5,5,5,NA
"4665","TX","Yoakum","SHINNERY OAKS COMMUNITY",8,NA,NA,1,NA,NA
"4666","TX","Young","GRACE CARE CENTER OF OLNEY",1,3,1,1,1,NA
"4667","TX","Young","GRAHAM OAKS CARE CENTER",10,NA,NA,10,NA,NA
"4668","UT","Box Elder","WILLOW GLEN HEALTH AND REHAB",5,NA,NA,6,NA,NA
"4669","UT","Carbon","PINNACLE NURSING AND REHABILITATION CENTER",1,1,1,1,1,NA
"4670","UT","Davis","LIFE CARE CENTER OF BOUNTIFUL",22,22,22,40,40,NA
"4671","UT","Emery","EMERY COUNTY CARE AND REHABILITATION CENTER",3,NA,NA,NA,2,NA
"4672","UT","Salt Lake","HOLLADAY HEALTHCARE CENTER",1,1,1,1,1,NA
"4673","UT","Salt Lake","LIFE CARE CENTER OF SALT LAKE CITY",29,11,27,29,29,NA
"4674","UT","Salt Lake","MEADOW BROOK REHABILITATION AND NURSING",1,1,1,1,1,NA
"4675","UT","Salt Lake","MILLCREEK REHABILITATION AND NURSING, LLC",1,1,1,1,1,NA
"4676","UT","Salt Lake","PARAMOUNT HEALTH AND REHABILITATION",1,1,1,1,1,NA
"4677","UT","Salt Lake","ROCKY MOUNTAIN CARE - COTTAGE ON VINE",1,1,1,3,1,NA
"4678","UT","Sevier","STONEHENGE OF RICHFIELD",1,1,1,1,1,NA
"4679","UT","Weber","CRESTWOOD REHABILITATION AND NURSING",1,1,1,1,1,NA
"4680","UT","Weber","LOMOND PEAK NURSING AND REHABILITATION, LLC",2,2,2,2,2,NA
"4681","UT","Weber","MOUNTAIN VIEW HEALTH SERVICES",3,1,1,6,10,NA
"4682","VA","Accomack","SHORE HEALTH & REHAB CENTER",2,1,1,1,1,NA
"4683","VA","Alexandria City","GOODWIN HOUSE ALEXANDRIA",2,2,2,2,2,NA
"4684","VA","Alexandria City","THE FOUNTAINS AT WASHINGTON HOUSE",1,NA,NA,9,NA,NA
"4685","VA","Alleghany","THE WOODLANDS HEALTH AND REHAB CENTER",2,NA,NA,2,2,NA
"4686","VA","Amelia","WELLSPRINGS AT AMELIA",1,NA,NA,NA,1,NA
"4687","VA","Amherst","FAIRMONT CROSSING HEALTH AND REHABILITATION",6,5,5,8,6,NA
"4688","VA","Bedford City","OAKWOOD MANOR BEDFORD MEM",7,6,6,9,7,NA
"4689","VA","Bristol City","THE REHAB CENTER AT BRISTOL",4,NA,NA,4,2,NA
"4690","VA","Brunswick","ENVOY OF LAWRENCEVILLE, LLC",1,NA,NA,2,NA,NA
"4691","VA","Buchanan","HERITAGE HALL GRUNDY",3,NA,3,3,3,NA
"4692","VA","Buckingham","HERITAGE HALL DILLWYN",2,2,2,2,2,NA
"4693","VA","Caroline","BOWLING GREEN HEALTH & REHABILITATION CENTER",17,NA,NA,17,4,NA
"4694","VA","Charlotte","WAYLAND NURSING AND REHABILITATION CENTER",1,1,1,13,1,NA
"4695","VA","Chesterfield","HEALTH CARE CENTER LUCY CORR",1,1,2,1,1,NA
"4696","VA","Chesterfield","TYLER'S RETREAT AT IRON BRIDGE",1,8,NA,NA,NA,NA
"4697","VA","Colonial Heights City","COLONIAL HEIGHTS REHABILITATION AND NURSING CENTER",38,5,5,38,32,NA
"4698","VA","Culpeper","CULPEPER HEALTH & REHABILITATION CENTER",14,4,NA,13,2,NA
"4699","VA","Emporia City","GREENSVILLE HEALTH AND REHABILITATION CENTER",2,2,2,2,2,NA
"4700","VA","Fairfax","DULLES HEALTH & REHAB CENTER",1,NA,NA,3,1,NA
"4701","VA","Fairfax","LEEWOOD HEALTHCARE CENTER",2,4,1,34,27,NA
"4702","VA","Fairfax","MANORCARE HEALTH SERVICES-ALEXANDRIA",14,NA,NA,14,14,NA
"4703","VA","Floyd","SKYLINE NURSING & REHABILITATION CENTER",5,NA,2,NA,NA,NA
"4704","VA","Franklin","FRANKLIN HEALTH AND REHABILITATION CENTER",41,42,41,42,42,NA
"4705","VA","Franklin City","SOUTHAMPTON MEMORIAL HOSP",9,1,1,9,9,NA
"4706","VA","Gloucester","WALTER REED CONVALESCENT AND REHABILITATION CENTER",1,NA,1,5,1,NA
"4707","VA","Greene","ACCORDIUS HEALTH AT GREENE COUNTY",1,2,3,6,4,NA
"4708","VA","Hampton City","COLISEUM CONVALESCENT AND REHABILITATION CENTER",2,NA,NA,2,2,NA
"4709","VA","Hampton City","NORTHAMPTON CONVALESCENT AND REHABILITATION CENTER",3,1,1,3,3,NA
"4710","VA","Henrico","ELIZABETH ADAM CRUMP HEALTH AND REHAB",2,2,2,2,2,NA
"4711","VA","Henrico","GLENBURNIE REHAB & NURSING CENTER",5,5,5,6,5,NA
"4712","VA","Henrico","MANORCARE HEALTH SERVICES-RICHMOND",10,NA,NA,9,9,NA
"4713","VA","Hopewell City","RIVER VIEW ON THE APPOMATTOX HEALTH & REHAB CENTER",2,NA,NA,4,2,NA
"4714","VA","Hopewell City","WONDER CITY REHABILITATION AND NURSING CENTER",42,NA,NA,42,42,NA
"4715","VA","James City","ENVOY OF WILLIAMSBURG, LLC",2,2,2,2,2,NA
"4716","VA","King George","HERITAGE HALL KING GEORGE",12,12,12,13,12,NA
"4717","VA","Lancaster","LANCASHIRE CONVALESCENT AND REHABILITATION CENTER",2,NA,NA,2,2,NA
"4718","VA","Lancaster","RAPPAHANNOCK WESTMINSTER CANTE",1,1,1,1,1,NA
"4719","VA","Loudoun","ASHBY PONDS INC",1,1,1,1,1,NA
"4720","VA","Loudoun","LOUDOUN NURSING AND REHAB CNTR",1,1,1,1,1,NA
"4721","VA","Loudoun","POTOMAC FALLS HEALTH & REHAB CENTER",1,NA,NA,3,1,NA
"4722","VA","Lynchburg City","HEARTLAND HEALTH CARE CENTER - LYNCHBURG",1,1,1,1,1,NA
"4723","VA","Lynchburg City","SUMMIT HEALTH & REHABILITATION CENTER",7,5,6,9,7,NA
"4724","VA","Lynchburg City","VIRGINIA BAPTIST HOSPITAL DIVISION / GUGGENHEIMER",7,6,6,9,7,NA
"4725","VA","Madison","MOUNTAIN VIEW NURSING HOME",2,1,NA,NA,2,NA
"4726","VA","Manassas City","MANASSAS HEALTH AND REHAB CENTER",1,NA,NA,3,1,NA
"4727","VA","Mecklenburg","CHASE CITY HEALTH AND REHAB CENTER",1,NA,NA,1,1,NA
"4728","VA","Mecklenburg","CLARKSVILLE HEALTH & REHAB CENTER",2,2,2,2,2,NA
"4729","VA","Middlesex","DOCKSIDE HEALTH & REHAB CENTER",1,2,1,10,1,NA
"4730","VA","Montgomery","HERITAGE HALL BLACKSBURG",3,3,3,3,3,NA
"4731","VA","Newport News City","JAMES RIVER CONVALESCENT CENTER",2,NA,NA,2,2,NA
"4732","VA","Newport News City","THE NEWPORT",3,NA,1,2,2,NA
"4733","VA","Norfolk City","CONSULATE HEALTH CARE OF NORFOLK",2,NA,NA,2,NA,NA
"4734","VA","Norfolk City","PELICAN HEALTH NORFOLK",1,NA,NA,NA,NA,NA
"4735","VA","Northampton","THE CITADEL NASSAWADOX",1,1,1,1,1,NA
"4736","VA","Petersburg City","BATTLEFIELD PARK HEALTHCARE CENTER",1,1,3,3,1,NA
"4737","VA","Petersburg City","DINWIDDIE HEALTH AND REHAB CENTER",1,NA,NA,3,1,NA
"4738","VA","Prince William","ENVOY OF WOODBRIDGE, LLC",3,1,NA,3,NA,NA
"4739","VA","Prince William","GAINESVILLE HEALTH AND REHAB CENTER",1,NA,NA,3,1,NA
"4740","VA","Prince William","LAKE MANASSAS HEALTH & REHABILITATION CENTER",22,17,23,23,23,NA
"4741","VA","Radford City","RADFORD HEALTH AND REHAB CENTER",2,NA,NA,2,2,NA
"4742","VA","Roanoke","BRANDON OAKS NURSING AND REHABILITATION CENTER",18,NA,1,17,15,NA
"4743","VA","Roanoke City","OUR LADY OF THE VALLEY",1,1,1,2,1,NA
"4744","VA","Shenandoah","SKYLINE TERRACE CONV HOME",1,1,NA,6,NA,NA
"4745","VA","Smyth","FRANCIS MARION MANOR HEALTH & REHABILITATION",21,2,1,21,1,NA
"4746","VA","Southampton","ACCORDIUS HEALTH AT COURTLAND",1,1,NA,NA,NA,NA
"4747","VA","Spotsylvania","CARRIAGE HILL HEALTH AND REHAB CENTER",1,NA,NA,4,1,NA
"4748","VA","Spotsylvania","FREDERICKSBURG HEALTH AND REHAB",1,1,2,1,1,NA
"4749","VA","Stafford","WOODMONT CENTER",20,1,7,29,21,NA
"4750","VA","Staunton City","KINGS DAUGHTERS COMMUNITY HEALTH & REHAB",2,NA,NA,13,NA,NA
"4751","VA","Suffolk City","BON SECOURS-MARYVIEW NURSING C",2,2,1,8,2,NA
"4752","VA","Suffolk City","LAKE PRINCE WOODS, INC",13,2,2,16,5,NA
"4753","VA","Tazewell","HERITAGE HALL TAZEWELL",3,3,3,3,3,NA
"4754","VA","Tazewell","WESTWOOD CENTER",20,1,NA,28,20,NA
"4755","VA","Virginia Beach City","ACCORDIUS HEALTH AT RIVER POINTE LLC",1,NA,NA,3,NA,NA
"4756","VA","Virginia Beach City","THE CITADEL VIRGINIA BEACH LLC",9,7,6,10,7,NA
"4757","VA","Warren","HERITAGE HALL  FRONT ROYAL",1,NA,NA,2,2,NA
"4758","VA","Washington","ABINGDON HEALTH CARE LLC",1,NA,NA,1,1,NA
"4759","VA","Washington","GRACE HEALTHCARE OF ABINGDON",20,5,5,16,6,NA
"4760","VA","Wise","HERITAGE HALL BIG STONE GAP",3,4,3,3,3,NA
"4761","VA","Wise","HERITAGE HALL WISE",2,2,2,2,2,NA
"4762","VA","Wise","MOUNTAIN VIEW REGIONAL MEDICAL CENTER",1,NA,NA,8,2,NA
"4763","VA","Wythe","CARRINGTON PLACE AT WYTHEVILLE - BIRDMONT CENTER",1,1,1,1,1,NA
"4764","VA","York","YORK CONVALESCENT AND REHABILITATION  CENTER",2,1,1,2,2,NA
"4765","VT","Bennington","BENNINGTON HEALTH & REHAB",20,NA,NA,21,20,NA
"4766","VT","Caledonia","PINES REHAB & HEALTH CTR",1,1,1,1,1,NA
"4767","VT","Caledonia","ST JOHNSBURY HEALTH & REHAB",20,NA,NA,24,20,NA
"4768","VT","Chittenden","BURLINGTON HEALTH & REHAB",19,NA,NA,27,19,NA
"4769","VT","Chittenden","ELDERWOOD AT BURLINGTON",1,1,1,1,1,NA
"4770","VT","Franklin","SAINT ALBANS HEALTHCARE AND REHABILITATION CENTER",20,NA,NA,21,20,NA
"4771","VT","Orleans","BEL AIRE CENTER",20,1,NA,20,20,NA
"4772","VT","Orleans","UNION HOUSE NURSING HOME",3,NA,NA,NA,NA,NA
"4773","VT","Rutland","MOUNTAIN VIEW CENTER GENESIS HEALTHCARE",20,NA,NA,25,20,NA
"4774","VT","Rutland","RUTLAND HEALTHCARE AND REHABILITATION CENTER",20,NA,NA,20,20,NA
"4775","VT","Washington","BARRE GARDENS NURSING AND REHAB LLC",1,1,1,1,1,NA
"4776","VT","Washington","BERLIN HEALTH & REHAB CTR",20,NA,NA,28,20,NA
"4777","VT","Washington","MAYO HEALTHCARE INC.",7,3,2,20,20,NA
"4778","VT","Windham","THOMPSON HOUSE NURSING HOME",1,9,1,1,1,NA
"4779","VT","Windsor","SPRINGFIELD HEALTH & REHAB",20,NA,NA,20,20,NA
"4780","WA","Benton","RICHLAND REHABILITATION CENTER",12,4,NA,19,15,NA
"4781","WA","Clallam","SEQUIM HEALTH & REHABILITATION",3,30,1,39,35,1
"4782","WA","Clark","FORT VANCOUVER POST ACUTE",17,7,4,25,16,NA
"4783","WA","Columbia","BOOKER REST HOME",1,NA,NA,NA,NA,NA
"4784","WA","Cowlitz","FRONTIER REHAB & EXTENDED CARE",23,3,2,22,21,NA
"4785","WA","Cowlitz","WOODLAND CONVALESCENT CENTER",1,NA,NA,NA,4,NA
"4786","WA","Grant","COLUMBIA CREST CENTER",23,28,6,12,5,NA
"4787","WA","Grant","LAKE RIDGE CENTER",4,9,1,36,35,NA
"4788","WA","Grays Harbor","MONTESANO HEALTH & REHABILITATION",10,17,20,18,6,NA
"4789","WA","King","BALLARD  CENTER",14,32,8,21,NA,NA
"4790","WA","King","BURIEN NURSING AND REHABILITATION CENTER",7,14,NA,14,12,2
"4791","WA","King","ENUMCLAW HEALTH & REHAB CENTER",8,8,7,8,9,NA
"4792","WA","King","HALLMARK MANOR",1,NA,NA,1,NA,NA
"4793","WA","King","MISSION HEALTHCARE AT RENTON",3,NA,NA,18,5,NA
"4794","WA","King","PARK WEST CARE CENTER",4,5,3,5,5,NA
"4795","WA","King","PROVIDENCE MARIANWOOD",2,2,4,1,1,NA
"4796","WA","King","QUEEN ANNE HEALTHCARE",1,NA,2,10,11,2
"4797","WA","King","REDMOND CARE AND REHABILITATION CENTER",1,1,1,1,1,NA
"4798","WA","King","RENTON NURSING AND REHABILITATION CENTER",2,1,1,1,2,NA
"4799","WA","King","SAINT ANNE NURSING AND REHABILITATION CENTER",37,29,27,41,33,NA
"4800","WA","King","SEA MAR COMMUNITY CARE CENTER",2,3,2,30,8,NA
"4801","WA","King","SEATTLE MEDICAL POST ACUTE CARE",5,NA,1,5,5,NA
"4802","WA","King","TALBOT CENTER FOR REHAB & HEALTHCARE",2,1,NA,6,3,NA
"4803","WA","King","WASHINGTON CARE CENTER",1,NA,NA,3,1,1
"4804","WA","King","WESLEY HOMES HEALTH CENTER",1,NA,NA,NA,NA,NA
"4805","WA","Kitsap","FOREST RIDGE HEALTH & REHAB",19,19,12,23,19,NA
"4806","WA","Kitsap","LIFE CARE CENTER OF PORT ORCHARD",10,10,10,12,10,NA
"4807","WA","Kitsap","MARTHA AND MARY HEALTH SERVICE",1,NA,NA,NA,NA,NA
"4808","WA","Kitsap","NORTHWOODS LODGE",30,32,29,33,31,NA
"4809","WA","Mason","FIR LANE HEALTH AND REHAB CTR",11,20,13,13,16,NA
"4810","WA","Mason","SHELTON HEALTH & REHAB CENTER",19,2,2,19,19,NA
"4811","WA","Okanogan","NORTH VALLEY HOSPITAL",2,NA,5,1,NA,NA
"4812","WA","Okanogan","REGENCY HARMONY HOUSE REHAB & NURSING",5,NA,1,NA,NA,NA
"4813","WA","Pierce","ALASKA GARDENS HEALTH AND REHABILITATION",15,NA,NA,24,15,NA
"4814","WA","Pierce","AVAMERE HERITAGE REHABILITATION OF TACOMA",2,1,1,1,3,NA
"4815","WA","Pierce","AVAMERE TRANSITIONAL CARE OF PUGET SOUND",2,2,2,2,2,NA
"4816","WA","Pierce","HEARTWOOD EXTENDED HEALTHCARE",3,3,NA,4,4,NA
"4817","WA","Pierce","LIFE CARE CENTER OF PUYALLUP",23,1,16,22,22,NA
"4818","WA","Pierce","LIFE CARE CENTER OF SOUTH HILL",18,2,2,15,10,NA
"4819","WA","Pierce","LINDEN GROVE HEALTH CARE CENTER",1,NA,NA,1,NA,NA
"4820","WA","Pierce","MANOR CARE OF GIG HARBOR WA, LLC",30,6,6,34,27,NA
"4821","WA","Pierce","MANOR CARE OF TACOMA WA, LLC",11,NA,NA,14,11,NA
"4822","WA","Pierce","ORCHARD PARK HEALTH CARE & REHAB CENTER",9,7,NA,1,NA,NA
"4823","WA","Pierce","PUYALLUP NURSING AND REHABILITATION CENTER",3,1,6,NA,1,1
"4824","WA","Pierce","TACOMA LUTHERAN RETIREMENT COMMUNITY",4,5,1,4,NA,NA
"4825","WA","Skagit","MIRA VISTA CARE CENTER",1,14,12,4,5,NA
"4826","WA","Snohomish","ALDERCREST HEALTH & REHAB CENTER",32,33,33,38,31,NA
"4827","WA","Snohomish","EVERETT CENTER",3,2,2,9,2,43
"4828","WA","Snohomish","JOSEPHINE CARING COMMUNITY",5,1,4,4,3,NA
"4829","WA","Snohomish","LYNNWOOD POST ACUTE REHABILITATION CENTER",1,1,1,1,1,NA
"4830","WA","Snohomish","MANOR CARE HEALTH SERVICES (LYNNWOOD)",8,NA,NA,13,10,NA
"4831","WA","Snohomish","MARYSVILLE CARE CENTER",16,NA,NA,7,15,NA
"4832","WA","Snohomish","PRESTIGE POST-ACUTE AND REHAB CENTER - EDMONDS",7,6,7,7,7,NA
"4833","WA","Snohomish","REGENCY CARE CENTER AT MONROE",10,NA,17,4,2,NA
"4834","WA","Snohomish","SUNRISE VIEW CONVALESCENT CTR",17,19,3,19,10,NA
"4835","WA","Snohomish","VIEW RIDGE CARE CENTER",11,13,10,39,12,NA
"4836","WA","Spokane","GARDENS ON UNIVERSITY, THE",4,5,12,15,3,NA
"4837","WA","Spokane","MANOR CARE HEALTH SERVICES-SPO",1,1,2,2,1,NA
"4838","WA","Spokane","NORTH CENTRAL CARE CENTER",4,4,4,NA,4,NA
"4839","WA","Spokane","REGENCY AT NORTHPOINTE",13,1,2,15,5,NA
"4840","WA","Spokane","ROCKWOOD SOUTH HILL",1,1,1,1,1,NA
"4841","WA","Spokane","SUNSHINE HEALTH & REHAB",8,5,6,12,8,NA
"4842","WA","Stevens","BUENA VISTA HEALTHCARE",7,NA,1,16,16,1
"4843","WA","Stevens","PRESTIGE CARE & REHABILITATION - PINEWOOD TERRACE",3,NA,3,5,NA,NA
"4844","WA","Thurston","MANORCARE HEALTH SERVICES - LACEY",23,NA,NA,23,23,NA
"4845","WA","Thurston","ROO LAN HEALTH & REHAB",8,10,NA,1,3,NA
"4846","WA","Walla Walla","PARK MANOR REHABILITATION CTR",3,3,3,3,3,1
"4847","WA","Walla Walla","REGENCY AT THE PARK",5,7,16,6,7,2
"4848","WA","Whatcom","ALDERWOOD PARK HEALTH AND REHABILITATION",22,NA,NA,22,22,NA
"4849","WA","Whatcom","AVAMERE BELLINGHAM HEALTH CARE & REHAB SERVICES",8,6,5,7,9,2
"4850","WA","Whatcom","GOOD SAMARITAN SOCIETY - STAFHOLT",3,2,1,1,2,NA
"4851","WA","Whatcom","HIGHLAND HEALTH AND REHABILITATION",3,16,16,3,3,NA
"4852","WA","Whatcom","NORTH CASCADES HEALTH AND REHABILITATION CENTER",1,1,2,1,1,NA
"4853","WA","Whatcom","SHUKSAN HEALTHCARE CENTER",2,2,2,2,2,NA
"4854","WA","Whatcom","ST FRANCIS OF BELLINGHAM",11,9,8,13,12,NA
"4855","WA","Whitman","WHITMAN HEALTH & REHAB CENTER",2,2,2,2,2,NA
"4856","WA","Yakima","CRESCENT HEALTH CARE, INC",5,2,2,5,1,NA
"4857","WA","Yakima","GARDEN VILLAGE",2,NA,NA,12,NA,NA
"4858","WA","Yakima","LANDMARK CARE AND REHABILITATION",10,10,10,19,11,NA
"4859","WA","Yakima","PRESTIGE CARE & REHABILITATION - PARKSIDE",8,NA,NA,13,NA,NA
"4860","WA","Yakima","WILLOW SPRINGS CARE AND REHABILITATION",10,26,18,23,18,NA
"4861","WI","Ashland","ASHLAND HEALTH SERVICES",29,NA,NA,25,11,NA
"4862","WI","Ashland","COURT MANOR HEALTH SERVICES",25,24,7,32,26,NA
"4863","WI","Barron","BARRON CARE AND REHABILITATION",2,2,2,2,2,NA
"4864","WI","Bayfield","NORTHERN LIGHTS HCC",1,NA,NA,1,3,NA
"4865","WI","Brown","CCC OF WEST GREEN BAY",19,3,NA,26,19,NA
"4866","WI","Brown","GREEN BAY HEALTH SERVICES",33,NA,NA,31,16,NA
"4867","WI","Calumet","HOMESTEAD HEALTH SERVICES",9,13,NA,39,18,NA
"4868","WI","Calumet","WILLOWDALE HEALTH SERVICES",4,NA,NA,10,12,NA
"4869","WI","Chippewa","CHIPPEWA MANOR NURSING AND REHABILITATION",2,NA,NA,NA,NA,NA
"4870","WI","Chippewa","CORNELL HEALTH SERVICES",3,NA,3,17,14,NA
"4871","WI","Chippewa","WISSOTA HEALTH AND REGIONAL VENT CENTER",1,24,12,34,25,1
"4872","WI","Clark","OAKBROOK HEALTH AND REHABILITATION",1,1,1,1,1,NA
"4873","WI","Columbia","COLUMBUS HEALTH AND REHAB",10,10,10,10,10,NA
"4874","WI","Columbia","TIVOLI AT DIVINE SAVIOR HEALTHCARE",3,NA,NA,6,NA,NA
"4875","WI","Columbia","WISCONSIN DELLS HEALTH SERVICES",38,2,NA,28,26,NA
"4876","WI","Crawford","SOLDIERS GROVE HEALTH SERVICES",32,NA,1,33,11,NA
"4877","WI","Dane","FOUR WINDS MANOR",1,1,6,1,6,NA
"4878","WI","Dane","NAZARETH HEALTH AND REHAB CENTER",1,2,1,1,1,NA
"4879","WI","Dane","OAKWOOD LUTHERAN HOMES ASSOC",2,2,2,2,2,NA
"4880","WI","Dane","SKAALEN NURSING AND REHABILITATION CENTER",1,1,1,1,1,NA
"4881","WI","Dane","SSM HEALTH ST MARY'S CARE CENTER",31,3,NA,32,23,NA
"4882","WI","Dane","VILLA AT MIDDLETON VILLAGE (THE)",1,1,1,1,1,NA
"4883","WI","Dodge","CROSSROADS CARE CENTER OF MAYVILLE",3,NA,NA,23,NA,NA
"4884","WI","Dodge","HILLSIDE MANOR",42,NA,1,33,3,NA
"4885","WI","Dodge","MARQUARDT MEMORIAL MANOR",1,2,1,18,2,NA
"4886","WI","Dodge","RANDOLPH HEALTH SERVICES",29,2,9,35,15,NA
"4887","WI","Door","GOOD SAMARITAN SOCIETY-SCANDIA VILLAGE",3,NA,NA,32,8,NA
"4888","WI","Door","STURGEON BAY HEALTH SERVICES",31,1,1,42,29,NA
"4889","WI","Douglas","ASPEN HEALTH AND REHAB",3,3,NA,6,NA,NA
"4890","WI","Douglas","SUPERIOR REHABILITATION CENTER LLC",2,1,1,17,7,NA
"4891","WI","Douglas","TWIN PORTS HEALTH SERVICES",38,NA,NA,38,15,NA
"4892","WI","Dunn","NEIGHBORS - CENTRAL NEIGHBORHOOD (THE)",6,6,6,13,6,NA
"4893","WI","Dunn","NEIGHBORS - EAST NEIGHBORHOOD (THE)",18,18,18,23,18,NA
"4894","WI","Dunn","NEIGHBORS - WEST NEIGHBORHOOD (THE)",18,18,18,24,18,NA
"4895","WI","Eau Claire","DOVE HEALTHCARE-SOUTH",32,8,1,37,34,NA
"4896","WI","Eau Claire","DOVE HEALTHCARE-WEST",37,1,NA,37,28,NA
"4897","WI","Eau Claire","GRACE LUTH COMMUNITIES-PRAIRIE POINTE REHAB SUITES",6,6,10,NA,NA,NA
"4898","WI","Eau Claire","OAKWOOD HEALTH SERVICES",9,1,2,13,1,NA
"4899","WI","Florence","FLORENCE HEALTH SERVICES",22,22,NA,32,23,NA
"4900","WI","Fond du Lac","FOND DU LAC LUTHERAN HOME",10,NA,1,12,6,NA
"4901","WI","Grant","EPIONE PAVILION",28,22,28,29,21,NA
"4902","WI","Grant","LANCASTER HEALTH SERVICES",31,8,1,26,20,NA
"4903","WI","Grant","ORCHARD MANOR",1,1,NA,33,1,NA
"4904","WI","Grant","ST DOMINIC VILLA",9,9,8,10,9,NA
"4905","WI","Green","MONROE HEALTH SERVICES",21,3,1,22,21,NA
"4906","WI","Green","NEW GLARUS HOME",2,2,2,3,2,NA
"4907","WI","Green","PLEASANT VIEW NURSING HOME",1,NA,NA,1,NA,NA
"4908","WI","Green Lake","JULIETTE MANOR",14,14,14,14,14,NA
"4909","WI","Green Lake","MARKESAN RESIDENT HOME",1,1,NA,22,5,NA
"4910","WI","Iowa","MINERAL POINT HEALTH SERVICES",33,25,11,42,24,NA
"4911","WI","Jackson","MEADOWBROOK OF BLACK RIVER FALLS",1,NA,1,5,2,NA
"4912","WI","Jefferson","FAIRHAVEN CORPORATION",8,NA,NA,NA,1,NA
"4913","WI","Jefferson","LAKE MILLS HEALTH SERVICES",32,31,32,32,32,NA
"4914","WI","Juneau","ELROY HEALTH SERVICES",13,1,1,33,1,NA
"4915","WI","Juneau","FAIR VIEW NURSING AND REHABILITATION CENTER",24,2,4,41,41,NA
"4916","WI","Kenosha","BAY AT WATERS EDGE HEALTH AND REHABILITATION (THE)",4,26,18,4,28,NA
"4917","WI","Kenosha","BROOKSIDE CARE CENTER",1,1,NA,11,1,NA
"4918","WI","Kenosha","CROSSROADS CARE CENTER OF KENOSHA",9,24,5,17,12,NA
"4919","WI","Kenosha","GRANDE PRAIRIE HLTH  AND REHAB CTR",3,3,3,3,3,NA
"4920","WI","Kewaunee","KEWAUNEE HEALTH SERVICES",4,2,NA,34,5,NA
"4921","WI","La Crosse","BENEDICTINE MANOR OF LACROSSE",1,1,1,23,1,NA
"4922","WI","La Crosse","BETHANY ST JOSEPH CARE CTR",12,1,2,11,1,NA
"4923","WI","La Crosse","HILLVIEW HEALTH CARE CTR",1,1,1,15,1,NA
"4924","WI","La Crosse","LAKEVIEW HEALTH CENTER",4,NA,NA,8,NA,NA
"4925","WI","Langlade","BAY AT EASTVIEW HEALTH AND REHABILITATION (THE)",2,4,NA,21,3,NA
"4926","WI","Lincoln","RIVERVIEW HEALTH SERVICES",2,13,9,NA,3,NA
"4927","WI","Lincoln","TOMAHAWK HEALTH SERVICES",11,8,12,12,6,NA
"4928","WI","Manitowoc","BAY AT NORTH RIDGE HEALTH AND REHABILITATION",3,29,4,13,NA,NA
"4929","WI","Manitowoc","HAMILTON HEALTH SERVICES",6,NA,NA,25,5,NA
"4930","WI","Manitowoc","MANITOWOC HEALTHCARE CENTER",1,NA,NA,2,NA,NA
"4931","WI","Manitowoc","RIVER'S BEND HEALTH SERVICES",14,NA,NA,35,12,NA
"4932","WI","Marathon","MARSHFIELD CLINIC COMFORT AND RECOVERY-WAUSAU",2,2,2,2,2,NA
"4933","WI","Marathon","PRIDE TLC THERAPY AND LIVING CAMPUS",19,19,19,19,19,NA
"4934","WI","Marathon","THREE OAKS HEALTH SERVICES",27,10,NA,39,28,NA
"4935","WI","Marathon","WAUSAU MANOR HEALTH SERVICES",21,NA,NA,42,31,NA
"4936","WI","Milwaukee","ALEXIAN VILLAGE OF MILWAUKEE",1,1,1,1,1,NA
