"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"3889","MI","Oakland","THE VILLA AT SILVERBELL ESTATES",28,2,26,14
"3890","MI","Oakland","WELLBRIDGE OF CLARKSTON",24,NA,24,15
"3891","MI","Oakland","WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER",41,NA,NA,NA
"3892","MI","Oakland","WEST HICKORY HAVEN",1,1,1,1
"3893","MI","Oakland","WOODWARD HILLS HEALTH AND REHABILITATION CTR",5,NA,2,2
"3894","MI","Ogemaw","THE VILLA AT ROSE CITY",35,NA,35,6
"3895","MI","Ogemaw","THE VILLA AT WEST BRANCH",1,NA,3,1
"3896","MI","Ontonagon","ASPIRUS ONTONAGON HOSPITAL, INC",19,NA,19,NA
"3897","MI","Otsego","MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL LTCU",16,NA,3,NA
"3898","MI","Ottawa","HALLMARK LIVING HOLLAND",20,1,NA,NA
"3899","MI","Ottawa","LAURELS OF HUDSONVILLE (THE)",29,NA,22,15
"3900","MI","Ottawa","RIVERSIDE NURSING CENTRE",17,NA,17,1
"3901","MI","Ottawa","SKLD ZEELAND",7,NA,7,NA
"3902","MI","Presque Isle","MEDILODGE OF ROGERS CITY",2,2,2,2
"3903","MI","Saginaw","CHESANING NURSING AND REHABILITATION CENTER",26,NA,9,NA
"3904","MI","Saginaw","HEALTHSOURCE SAGINAW, INC",11,5,6,5
"3905","MI","Saginaw","MEDILODGE OF FRANKENMUTH",18,18,18,18
"3906","MI","Sanilac","AUTUMNWOOD OF DECKERVILLE",2,NA,1,1
"3907","MI","Sanilac","SANILAC MEDICAL CARE FACILITY",38,NA,39,NA
"3908","MI","Schoolcraft","SCHOOLCRAFT MEDICAL CARE FACILITY",20,NA,19,17
"3909","MI","Shiawassee","DURAND SENIOR CARE AND REHAB CENTER, L L C",3,NA,NA,NA
"3910","MI","St. Clair","MEDILODGE OF PORT HURON",22,6,41,10
"3911","MI","St. Clair","MEDILODGE OF ST CLAIR",21,NA,20,8
"3912","MI","St. Clair","MEDILODGE OF YALE, INC",15,NA,4,27
"3913","MI","St. Clair","REGENCY ON THE LAKE - FORT GRATIOT",29,NA,2,33
"3914","MI","St. Joseph","FROH COMMUNITY HOME",1,1,1,2
"3915","MI","St. Joseph","GRACE HEALTHCARE OF THREE RIVERS",43,NA,43,32
"3916","MI","Tuscola","FISHER SENIOR CARE AND REHAB",1,NA,NA,NA
"3917","MI","Van Buren","GRACEWAY AT COUNTRYSIDE",2,1,1,1
"3918","MI","Washtenaw","EVANGELICAL HOME - SALINE",1,NA,1,NA
"3919","MI","Washtenaw","REGENCY AT BLUFFS PARK",2,NA,20,31
"3920","MI","Washtenaw","REGENCY AT WHITMORE LAKE",35,1,35,28
"3921","MI","Washtenaw","SUPERIOR WOODS HEALTHCARE CENTER",2,NA,2,NA
"3922","MI","Washtenaw","THE VILLA AT PARKRIDGE",43,26,43,28
"3923","MI","Wayne","ABERDEEN REHABILITATION AND SKILLED NURSING CENTER",18,NA,9,35
"3924","MI","Wayne","ADVANTAGE LIVING CENTER - HARPER WOODS",21,5,5,5
"3925","MI","Wayne","ADVANTAGE LIVING CENTER - REDFORD",39,37,39,39
"3926","MI","Wayne","ADVANTAGE LIVING CENTER - SOUTHGATE",1,1,1,1
"3927","MI","Wayne","ADVANTAGE LIVING CENTER - WAYNE",39,NA,33,NA
"3928","MI","Wayne","AMBASSADOR, A VILLA CENTER",39,NA,39,37
"3929","MI","Wayne","APPLEWOOD NURSING CENTER INC",38,1,27,22
"3930","MI","Wayne","BEACONSHIRE NURSING CENTRE",22,1,11,17
"3931","MI","Wayne","BEAUMONT REHABILITATION & CONTINUING CARE DEARBORN",1,NA,NA,NA
"3932","MI","Wayne","BELLE FOUNTAIN NURSING & REHABILITATION CENTER",4,NA,NA,3
"3933","MI","Wayne","BOULEVARD MANOR, LLC",35,1,30,36
"3934","MI","Wayne","BOULEVARD TEMPLE CARE CENTER, LLC",42,NA,39,37
"3935","MI","Wayne","CHERRY HILL FOR NURSING AND REHABILITATION",43,NA,1,43
"3936","MI","Wayne","FAIRLANE SENIOR CARE AND REHAB CENTER",5,1,3,1
"3937","MI","Wayne","FOUR CHAPLAINS NRSG CARE CTR",1,NA,1,NA
"3938","MI","Wayne","FOUR SEASONS NURSING CENTER OF WESTLAND",5,NA,4,2
"3939","MI","Wayne","HARTFORD NURSING & REHABILITATION CENTER",41,NA,29,35
"3940","MI","Wayne","HENRY FORD VILLAGE, INC",32,1,43,6
"3941","MI","Wayne","HERITAGE MANOR NURSING AND REHAB CENTER",11,1,2,9
"3942","MI","Wayne","IMPERIAL, A VILLA CENTER",3,3,3,3
"3943","MI","Wayne","MAPLE MANOR REHAB CENTER",34,NA,31,31
"3944","MI","Wayne","MEDILODGE OF PLYMOUTH",1,NA,NA,NA
"3945","MI","Wayne","MEDILODGE OF TAYLOR",43,22,43,33
"3946","MI","Wayne","MISSION POINT NSG & PHY REHAB CTR OF CRANBROOK",12,1,12,36
"3947","MI","Wayne","MISSION POINT NSG & PHY REHAB CTR OF ELMWOOD",27,NA,27,1
"3948","MI","Wayne","MISSION POINT NSG & PHY REHAB CTR OF WOODWARD",41,NA,38,38
"3949","MI","Wayne","OAKPOINTE SENIOR CARE AND REHAB CENTER",1,NA,3,NA
"3950","MI","Wayne","OMNI CONTINUING CARE",38,NA,35,11
"3951","MI","Wayne","PINE CREEK MANOR SKILLED NURSING & REHAB CENTER",33,NA,20,3
"3952","MI","Wayne","QUALICARE NURSING HOME",42,1,42,42
"3953","MI","Wayne","REGENCY AT CANTON",43,NA,3,7
"3954","MI","Wayne","REGENCY AT CHENE",42,NA,42,12
"3955","MI","Wayne","REGENCY AT LIVONIA",38,3,18,42
"3956","MI","Wayne","REGENCY AT WESTLAND",43,NA,43,41
"3957","MI","Wayne","REGENCY HEIGHTS-DETROIT",20,NA,24,NA
"3958","MI","Wayne","REGENCY, A VILLA CENTER",17,2,2,2
"3959","MI","Wayne","RIVERGATE HEALTH CARE CENTER",12,1,NA,1
"3960","MI","Wayne","RIVERGATE TERRACE",39,NA,22,2
"3961","MI","Wayne","RIVERVIEW HEALTH & REHAB CENTER",3,1,1,2
"3962","MI","Wayne","SHEFFIELD MANOR NURSING & REHAB CENTER",42,NA,42,42
"3963","MI","Wayne","SKLD LIVONIA",1,1,1,1
"3964","MI","Wayne","ST JAMES NURSING CENTER",23,NA,12,3
"3965","MI","Wayne","ST JOSEPH'S, A VILLA CENTER",9,9,10,10
"3966","MI","Wayne","STAR MANOR OF NORTHVILLE",4,NA,NA,4
"3967","MI","Wayne","THE LODGE AT TAYLOR",19,2,13,14
"3968","MI","Wayne","THE RIVERS HEALTH & REHAB CENTER OF GROSSE POINTE",23,4,17,5
"3969","MI","Wayne","THE VILLA AT GREAT LAKES CROSSING",42,1,40,2
"3970","MI","Wayne","THE VILLA AT THE PARK",1,1,1,2
"3971","MI","Wayne","WESTLAND, A VILLA CENTER",30,NA,30,26
"3972","MI","Wayne","WESTWOOD NURSING CENTER",21,1,14,2
"3973","MI","Wexford","SAMARITAS SENIOR LIVING CADILLAC",43,NA,43,NA
"3974","MN","Aitkin","AICOTA HEALTH CARE CENTER",22,NA,24,35
"3975","MN","Aitkin","AITKIN HEALTH SERVICES",1,1,3,2
"3976","MN","Anoka","CAMILIA ROSE CARE CENTER LLC",1,1,1,1
"3977","MN","Anoka","CREST VIEW LUTHERAN HOME",3,1,3,3
"3978","MN","Anoka","INTERLUDE RESTORATIVE SUITES UNITY",4,NA,4,5
"3979","MN","Anoka","PARK RIVER ESTATES CARE CENTER",28,NA,27,30
"3980","MN","Anoka","ST ANTHONY HEALTH & REHABILITATION",1,1,1,1
"3981","MN","Anoka","THE ESTATES AT FRIDLEY LLC",5,1,3,1
"3982","MN","Anoka","THE ESTATES AT TWIN RIVERS LLC",13,NA,11,15
"3983","MN","Becker","EMMANUEL NURSING HOME",10,NA,3,2
"3984","MN","Becker","ESSENTIA HEALTH OAK CROSSING",5,1,14,1
"3985","MN","Becker","FRAZEE CARE CENTER",15,NA,15,NA
"3986","MN","Becker","SUNNYSIDE CARE CENTER",14,NA,26,NA
"3987","MN","Beltrami","GOOD SAMARITAN SOCIETY - BLACKDUCK",39,1,34,8
"3988","MN","Beltrami","HAVENWOOD CARE CENTER",3,2,2,9
"3989","MN","Beltrami","JOURDAIN PERPICH EXT CARE FAC",3,NA,4,NA
"3990","MN","Benton","GOOD SHEPHERD LUTHERAN HOME",1,1,1,1
"3991","MN","Benton","THE GARDENS AT FOLEY LLC",1,1,1,1
"3992","MN","Big Stone","ESSENTIA HEALTH GRACE HOME",16,5,15,6
"3993","MN","Big Stone","FAIRWAY VIEW NEIGHBORHOODS",43,NA,25,17
"3994","MN","Blue Earth","HILLCREST CARE & REHABILITATION CENTER",31,NA,30,27
"3995","MN","Blue Earth","LAURELS PEAK CARE & REHABILITATION CENTER",43,NA,43,35
"3996","MN","Blue Earth","MAPLETON COMMUNITY HOME",3,NA,3,3
"3997","MN","Blue Earth","OAKLAWN CARE & REHABILITATION CENTER",41,8,35,34
"3998","MN","Brown","DIVINE PROVIDENCE COMMUNITY HOME",21,1,8,9
"3999","MN","Brown","OAK HILLS LIVING CENTER",30,NA,10,27
"4000","MN","Brown","SLEEPY EYE CARE CENTER",1,1,1,1
"4001","MN","Brown","ST JOHN LUTHERAN HOME",25,NA,11,7
"4002","MN","Carlton","AUGUSTANA MERCY CARE CENTER",26,1,7,NA
"4003","MN","Carlton","INTERFAITH CARE CENTER",21,1,15,11
"4004","MN","Carver","AUBURN MANOR",24,NA,25,NA
"4005","MN","Carver","GOOD SAMARITAN SOCIETY - WACONIA AND WESTVIEW ACRE",42,NA,41,29
"4006","MN","Chippewa","CLARA CITY CARE CENTER",4,NA,4,2
"4007","MN","Chippewa","LUTHER HAVEN",3,1,5,4
"4008","MN","Chisago","ECUMEN NORTH BRANCH",34,2,32,24
"4009","MN","Chisago","MEADOWS ON FAIRVIEW",29,NA,6,NA
"4010","MN","Chisago","PARMLY ON THE LAKE LLC",43,NA,43,41
"4011","MN","Chisago","THE ESTATES AT RUSH CITY LLC",42,NA,42,NA
"4012","MN","Clay","MOORHEAD RESTORATIVE CARE CENTER",36,2,36,36
"4013","MN","Clearwater","CORNERSTONE NSG & REHAB CENTER",35,NA,35,19
"4014","MN","Cook","NORTH SHORE HEALTH",1,NA,NA,NA
"4015","MN","Cottonwood","GOOD SAMARITAN SOCIETY - MOUNTAIN LAKE",26,NA,1,26
"4016","MN","Cottonwood","GOOD SAMARITAN SOCIETY - WESTBROOK",1,NA,NA,NA
"4017","MN","Cottonwood","GOOD SAMARITAN SOCIETY - WINDOM",33,3,3,31
"4018","MN","Crow Wing","CUYUNA REGIONAL MEDICAL CENTER",5,1,3,2
"4019","MN","Crow Wing","GOOD SAMARITAN SOCIETY - BETHANY",4,2,5,2
"4020","MN","Dakota","AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION",2,1,3,2
"4021","MN","Dakota","AUGUSTANA HCC OF APPLE VALLEY",29,NA,28,7
"4022","MN","Dakota","EBENEZER RIDGES GERIATRIC CARE CENTER",1,1,1,2
"4023","MN","Dakota","GOOD SAMARITAN SOCIETY - INVER GROVE HEIGHTS",43,NA,42,39
"4024","MN","Dakota","REGINA SENIOR LIVING",11,NA,7,6
"4025","MN","Dakota","SOUTHVIEW ACRES HEALTHCARE CENTER",22,3,22,20
"4026","MN","Dakota","TRINITY CARE CENTER",1,NA,NA,NA
"4027","MN","Dakota","WALKER METHODIST WESTWOOD RIDGE II",3,1,3,1
"4028","MN","Dakota","WOODLYN HEIGHTS HEALTHCARE CENTER",10,6,10,7
"4029","MN","Dodge","FAIRVIEW CARE CENTER",5,NA,5,4
"4030","MN","Dodge","FIELD CREST CARE CENTER",13,1,18,1
"4031","MN","Douglas","BETHANY ON THE LAKE LLC",2,2,2,2
"4032","MN","Douglas","EVANSVILLE CARE CENTER",30,1,30,30
"4033","MN","Douglas","GALEON",1,NA,2,1
"4034","MN","Douglas","KNUTE NELSON",21,NA,15,2
"4035","MN","Faribault","PARKVIEW CARE CENTER - WELLS",15,NA,9,4
"4036","MN","Fillmore","GOOD SHEPHERD LUTHERAN HOME",1,1,1,1
"4037","MN","Fillmore","GREEN LEA SENIOR LIVING",36,NA,43,3
"4038","MN","Fillmore","GUNDERSEN HARMONY CARE CENTER",2,1,5,1
"4039","MN","Fillmore","SPRING VALLEY CARE CENTER",1,1,1,1
"4040","MN","Freeborn","GOOD SAMARITAN SOCIETY - ALBERT LEA",2,1,3,1
"4041","MN","Freeborn","ST JOHNS LUTHERAN HOME",21,NA,19,37
"4042","MN","Freeborn","ST JOHNS ON FOUNTAIN LAKE",17,NA,17,35
"4043","MN","Freeborn","THORNE CREST RETIREMENT CENTER",32,NA,23,33
"4044","MN","Goodhue","BAY VIEW NURSING & REHABILITATION CENTER",41,20,42,20
"4045","MN","Goodhue","KENYON SUNSET HOME",4,NA,4,1
"4046","MN","Goodhue","MAYO CLINIC HEALTH SYSTEM - LAKE CITY",10,NA,NA,1
"4047","MN","Goodhue","ST CRISPIN LIVING COMMUNITY",11,1,3,4
"4048","MN","Goodhue","TERRACE AT CANNON FALLS",19,1,17,1
"4049","MN","Goodhue","ZUMBROTA CARE CENTER",14,2,7,2
"4050","MN","Grant","BARRETT CARE CENTER INC",1,1,1,1
"4051","MN","Hennepin","ANDREW RESIDENCE",9,NA,16,3
"4052","MN","Hennepin","AUGUSTANA CHAPEL VIEW CARE CENTER",1,1,1,1
"4053","MN","Hennepin","AURORA ON FRANCE",3,NA,3,NA
"4054","MN","Hennepin","BENEDICTINE HEALTH CENTER OF MINNEAPOLIS",2,2,16,2
"4055","MN","Hennepin","BIRCHWOOD CARE HOME",43,1,16,43
"4056","MN","Hennepin","BROOKVIEW A VILLA CENTER",5,1,4,2
"4057","MN","Hennepin","BYWOOD EAST HEALTH CARE",1,1,1,2
"4058","MN","Hennepin","CASTLE RIDGE CARE CENTER",9,NA,NA,NA
"4059","MN","Hennepin","CATHOLIC ELDERCARE ON MAIN",2,NA,NA,NA
"4060","MN","Hennepin","COVENANT LIVING OF GOLDEN VALLEY CARE & REHAB CTR",1,1,1,1
"4061","MN","Hennepin","EBENEZER CARE CENTER",27,1,6,6
"4062","MN","Hennepin","EDENBROOK OF EDINA",19,NA,19,8
"4063","MN","Hennepin","FAIRVIEW UNIVERSITY TRANS SERV",1,1,1,1
"4064","MN","Hennepin","FOLKESTONE",2,NA,NA,16
"4065","MN","Hennepin","GOOD SAMARITAN AMBASSADOR",29,NA,20,14
"4066","MN","Hennepin","GOOD SAMARITAN SOCIETY - SPECIALTY CARE COMMUNITY",2,2,2,2
"4067","MN","Hennepin","GRAND AVENUE REST HOME",1,NA,35,24
"4068","MN","Hennepin","HAVEN HOMES OF MAPLE PLAIN",36,2,31,30
"4069","MN","Hennepin","HOPKINS HEALTH SERVICES",5,2,5,4
"4070","MN","Hennepin","JONES HARRISON RESIDENCE",7,1,7,1
"4071","MN","Hennepin","LAKE MINNETONKA CARE CENTER",18,NA,17,3
"4072","MN","Hennepin","LAKE MINNETONKA SHORES",20,NA,4,21
"4073","MN","Hennepin","MARANATHA CARE CENTER",2,NA,3,33
"4074","MN","Hennepin","MINNESOTA MASONIC HOME CARE CENTER",40,1,1,1
"4075","MN","Hennepin","MOUNT OLIVET CAREVIEW HOME",1,NA,NA,3
"4076","MN","Hennepin","NORTH RIDGE HEALTH AND REHAB",43,NA,43,39
"4077","MN","Hennepin","PRESBYTERIAN HOMES OF BLOOMINGTON",27,NA,30,11
"4078","MN","Hennepin","REDEEMER RESIDENCE INC",4,4,4,4
"4079","MN","Hennepin","RICHFIELD A VILLA CENTER",4,NA,4,NA
"4080","MN","Hennepin","SAINT THERESE AT OXBOW LAKE",4,1,1,1
"4081","MN","Hennepin","ST THERESE HOME",1,1,1,NA
"4082","MN","Hennepin","ST THERESE TCU NORTH LLC",21,2,13,2
"4083","MN","Hennepin","TERRACE AT CRYSTAL LLC",9,3,10,14
"4084","MN","Hennepin","TEXAS TERRACE A VILLA CENTER",16,1,16,1
"4085","MN","Hennepin","THE ESTATES AT ST LOUIS PARK LLC",40,1,30,36
"4086","MN","Hennepin","THE VILLA AT BRYN MAWR",11,1,7,2
"4087","MN","Hennepin","THE VILLA AT OSSEO",40,NA,29,16
"4088","MN","Hennepin","THE VILLA AT ST LOUIS PARK",5,1,4,1
"4089","MN","Hennepin","TWIN CITY GARDENS",1,1,1,1
"4090","MN","Hennepin","WALKER METHODIST HEALTH CENTER",30,NA,14,3
"4091","MN","Houston","CALEDONIA REHABILITATION & RETIREMENT CENTER",6,12,12,3
"4092","MN","Houston","LA CRESCENT HEALTH SERVICES",1,NA,1,NA
"4093","MN","Houston","TWEETEN LUTHERAN HEALTH CARE CENTER",5,3,6,4
"4094","MN","Houston","VALLEY VIEW HEALTHCARE & REHAB",4,4,4,4
"4095","MN","Hubbard","HERITAGE LIVING CENTER",5,NA,6,4
"4096","MN","Isanti","GRACEPOINTE CROSSING GABLES",28,NA,17,3
"4097","MN","Itasca","BIGFORK VALLEY COMMUNITIES",42,3,42,41
"4098","MN","Itasca","ESSENTIA HEALTH - HOMESTEAD",31,NA,22,NA
"4099","MN","Itasca","THE EMERALDS AT GRAND RAPIDS LLC",36,NA,32,42
"4100","MN","Jackson","COLONIAL MANOR NURSING HOME",36,1,23,24
"4101","MN","Jackson","GOOD SAMARITAN SOCIETY - JACKSON",39,NA,36,40
"4102","MN","Kanabec","ST CLARE LIVING COMMUNITY OF MORA",36,NA,35,1
"4103","MN","Kandiyohi","CARRIS HEALTH CARE CENTER & THERAPY SUITES",2,2,2,2
"4104","MN","Kittson","KITTSON MEMORIAL HEALTHCARE CENTER",15,5,30,9
"4105","MN","Koochiching","GOOD SAMARITAN SOCIETY - INTERNATIONAL FALLS",29,NA,31,NA
"4106","MN","Koochiching","LITTLEFORK MEDICAL CENTER",22,NA,28,26
"4107","MN","Lac qui Parle","JOHNSON MEMORIAL HOSP & HOME",43,NA,43,43
"4108","MN","Lac qui Parle","MADISON HEALTHCARE SERVICES",2,NA,5,27
"4109","MN","Lake","MN VETERANS HOME SILVER BAY",39,NA,23,32
"4110","MN","Lake","THE WATERVIEW SHORES LLC",13,NA,NA,NA
"4111","MN","Lake of the Woods","LAKEWOOD CARE CENTER",15,3,14,7
"4112","MN","Le Sueur","MINNESOTA VALLEY HEALTH CENTER  INC",1,NA,2,NA
"4113","MN","Lincoln","AVERA SUNRISE MANOR",1,NA,2,1
"4114","MN","Lincoln","HENDRICKS COMMUNITY HOSPITAL",43,NA,43,37
"4115","MN","Lyon","AVERA MORNINGSIDE HEIGHTS CARE CENTER",4,NA,5,NA
"4116","MN","Lyon","PRAIRIE VIEW SENIOR LIVING",1,1,1,1
"4117","MN","Mahnomen","MAHNOMEN HEALTH CENTER",43,1,43,43
"4118","MN","Marshall","NORTH STAR MANOR",27,NA,32,26
"4119","MN","Martin","LAKEVIEW METHODIST HEALTH CARE CENTER",1,1,6,NA
"4120","MN","Martin","SEASONS HEALTHCARE",41,1,43,38
"4121","MN","Martin","TRUMAN SENIOR LIVING",4,3,4,3
"4122","MN","McLeod","GLENCOE REGIONAL HEALTH SERVICES",6,NA,4,2
"4123","MN","McLeod","HARMONY RIVER LIVING CENTER",1,NA,2,1
"4124","MN","McLeod","THE GARDENS AT WINSTED LLC",43,NA,42,6
"4125","MN","Meeker","HILLTOP CARE CENTER",7,NA,NA,2
"4126","MN","Meeker","MEEKER MANOR REHABILITATION CENTER, LLC",42,2,42,31
"4127","MN","Mille Lacs","ELIM HOME",42,NA,41,42
"4128","MN","Mille Lacs","ELIM HOME - MILACA",43,NA,23,11
"4129","MN","Mille Lacs","MILLE LACS HEALTH SYSTEM",42,16,20,13
"4130","MN","Morrison","LITTLE FALLS CARE CENTER",17,NA,17,NA
"4131","MN","Morrison","PIERZ VILLA INC",11,1,11,8
"4132","MN","Morrison","ST OTTOS CARE CENTER",43,4,43,43
"4133","MN","Mower","GOOD SAMARITAN SOCIETY - COMFORCARE",2,2,3,3
"4134","MN","Mower","MEADOW MANOR",23,NA,NA,1
"4135","MN","Mower","SACRED HEART CARE CENTER",29,4,26,7
"4136","MN","Mower","ST MARKS LIVING",22,NA,24,NA
"4137","MN","Murray","MAPLE LAWN SENIOR CARE",42,42,42,42
"4138","MN","Nicollet","BENEDICTINE LIVING COMMUNITY",17,1,13,8
"4139","MN","Nobles","CROSSROADS CARE CENTER",40,2,39,31
"4140","MN","Nobles","PARKVIEW MANOR NURSING HOME",41,1,32,33
"4141","MN","Nobles","SOUTH SHORE CARE CENTER",41,1,34,29
"4142","MN","Norman","BENEDICTINE CARE COMMUNITY",1,NA,NA,NA
"4143","MN","Norman","HALSTAD LIVING CENTER",34,1,43,43
"4144","MN","Olmsted","CHARTER HOUSE",2,2,2,2
"4145","MN","Olmsted","EDENBROOK OF ROCHESTER",14,NA,14,3
"4146","MN","Olmsted","MADONNA TOWERS OF ROCHESTER INC",29,NA,29,1
"4147","MN","Olmsted","ROCHESTER EAST HEALTH SERVICES",2,NA,2,NA
"4148","MN","Olmsted","ROCHESTER HEALTH SERVICES WEST",4,NA,3,NA
"4149","MN","Olmsted","ROCHESTER REHABILITATION AND LIVING CENTER",28,1,31,1
"4150","MN","Olmsted","SAMARITAN BETHANY HOME ON EIGHTH",6,NA,13,NA
"4151","MN","Olmsted","STEWARTVILLE CARE CENTER",2,NA,1,NA
"4152","MN","Otter Tail","GOOD SAMARITAN SOCIETY - BATTLE LAKE",26,NA,22,3
"4153","MN","Otter Tail","LB BROEN HOME",43,2,43,41
"4154","MN","Otter Tail","PELICAN VALLEY HEALTH CENTER",16,1,18,11
"4155","MN","Otter Tail","PERHAM LIVING",42,NA,40,16
"4156","MN","Otter Tail","PIONEER CARE CENTER",41,2,43,11
"4157","MN","Pennington","OAKLAND PARK COMMUNITIES",3,NA,1,NA
"4158","MN","Pennington","THIEF RIVER CARE CENTER",34,2,35,18
"4159","MN","Pine","LAKESIDE MEDICAL CENTER",6,NA,6,NA
"4160","MN","Pine","SANDSTONE HEALTH CARE CENTER",3,NA,3,1
"4161","MN","Pipestone","EDGEBROOK CARE CENTER",23,NA,24,24
"4162","MN","Pipestone","GOOD SAMARITAN SOCIETY - PIPESTONE",42,NA,42,18
"4163","MN","Polk","FAIR MEADOW NURSING HOME",12,NA,7,1
"4164","MN","Polk","MCINTOSH SENIOR LIVING",3,NA,3,3
"4165","MN","Polk","PIONEER MEMORIAL CARE CENTER",34,NA,34,33
"4166","MN","Polk","VILLA ST VINCENT",3,NA,2,NA
"4167","MN","Pope","GLENWOOD VILLAGE CARE CENTER",2,1,2,2
"4168","MN","Ramsey","BENEDICTINE HEALTH CENTER INNSBRUCK",3,NA,20,2
"4169","MN","Ramsey","CAPITOL VIEW TRANSITIONAL CARE CENTER",15,NA,4,NA
"4170","MN","Ramsey","CARONDELET VILLAGE CARE CENTER",17,NA,4,8
"4171","MN","Ramsey","CERENITY - MARIAN OF ST PAUL  LLC",4,4,4,4
"4172","MN","Ramsey","CERENITY CARE CENTER ON HUMBOLDT",14,NA,14,4
"4173","MN","Ramsey","EPISCOPAL CHURCH HOME GARDENS",17,1,3,2
"4174","MN","Ramsey","EPISCOPAL CHURCH HOME OF MINNESOTA",1,1,1,2
"4175","MN","Ramsey","GOOD SAMARITAN SOCIETY - MAPLEWOOD",13,3,4,3
"4176","MN","Ramsey","HAYES RESIDENCE",42,NA,42,10
"4177","MN","Ramsey","LANGTON SHORES",2,NA,14,9
"4178","MN","Ramsey","LITTLE SISTERS OF THE POOR",14,7,13,12
"4179","MN","Ramsey","LYNGBLOMSTEN CARE CENTER",1,NA,1,1
"4180","MN","Ramsey","MAPLEWOOD CARE CENTER",26,2,26,24
"4181","MN","Ramsey","NEW BRIGHTON A VILLA CENTER",42,7,40,32
"4182","MN","Ramsey","NEW BRIGHTON CARE CENTER",43,1,42,1
"4183","MN","Ramsey","NEW HARMONY CARE AND REHAB CENTER",6,6,5,7
"4184","MN","Ramsey","PRESBYTERIAN HOMES OF ARDEN HILLS",14,NA,16,15
"4185","MN","Ramsey","PRESBYTERIAN HOMES OF NORTH OAKS",12,NA,6,1
"4186","MN","Ramsey","RAMSEY COUNTY CARE CENTER",27,2,24,17
"4187","MN","Ramsey","ROSE OF SHARON A VILLA CENTER",1,1,1,1
"4188","MN","Ramsey","SHIRLEY CHAPMAN SHOLOM HOME EAST",15,NA,11,6
"4189","MN","Ramsey","ST ANTHONY PARK HOME",43,43,43,43
"4190","MN","Ramsey","THE EMERALDS AT ST PAUL LLC",28,1,1,1
"4191","MN","Ramsey","THE ESTATES AT ROSEVILLE LLC",1,1,1,2
"4192","MN","Redwood","GIL-MOR MANOR",2,1,1,1
"4193","MN","Redwood","PARKVIEW HOME",31,NA,40,2
"4194","MN","Redwood","RIVER VALLEY HEALTH AND REHABILITATION CENTER LLC",36,1,35,10
"4195","MN","Redwood","VALLEY VIEW MANOR HCC",35,NA,43,5
"4196","MN","Redwood","WABASSO RESTORATIVE CARE CENTER",23,NA,30,6
"4197","MN","Redwood","WOOD DALE HOME OPERATING LLC",4,NA,9,NA
"4198","MN","Renville","BUFFALO LAKE HEALTH CARE CTR",7,NA,NA,NA
"4199","MN","Renville","FRANKLIN RESTORATIVE CARE CENTER",36,NA,35,NA
"4200","MN","Renville","OLIVIA RESTORATIVE CARE CENTER",2,NA,4,NA
"4201","MN","Renville","RENVILLA HEALTH CENTER",32,NA,26,34
"4202","MN","Rice","NORTHFIELD CARE CENTER INC",29,NA,2,21
"4203","MN","Rice","NORTHFIELD HOSPITAL LONG TERM CARE CENTER",26,1,17,2
"4204","MN","Rice","PLEASANT MANOR LLC",14,10,14,10
"4205","MN","Rice","THE EMERALDS AT FARIBAULT LLC",1,1,1,1
"4206","MN","Rice","THREE LINKS CARE CENTER",5,NA,5,4
"4207","MN","Rock","GOOD SAMARITAN SOCIETY - MARY JANE BROWN",30,1,20,6
"4208","MN","Rock","TUFF MEMORIAL HOME",42,1,42,23
"4209","MN","Roseau","LIFECARE GREENBUSH MANOR",2,NA,2,1
"4210","MN","Roseau","LIFECARE ROSEAU MANOR",1,1,1,1
"4211","MN","Roseau","WARROAD CARE CENTER",13,13,13,13
"4212","MN","Scott","MALA STRANA CARE & REHABILITATION CENTER",34,NA,29,17
"4213","MN","Scott","SHAKOPEE FRIENDSHIP MANOR",42,NA,37,NA
"4214","MN","Scott","ST GERTRUDES HEALTH & REHABILITATION CENTER",11,2,17,2
"4215","MN","Scott","THE LUTHERAN HOME: BELLE PLAINE",14,7,12,8
"4216","MN","Sherburne","GUARDIAN ANGELS CARE CENTER",43,NA,43,43
"4217","MN","Sherburne","ST BENEDICTS SENIOR COMMUNITY",6,1,6,9
"4218","MN","Sibley","GOOD SAMARITAN SOCIETY - ARLINGTON",22,NA,24,1
"4219","MN","Sibley","GOOD SAMARITAN SOCIETY - WINTHROP",35,NA,43,NA
"4220","MN","Sibley","OAK TERRACE HEALTH CARE CENTER",20,NA,7,NA
"4221","MN","St. Louis","AFTENRO HOME",40,NA,32,20
"4222","MN","St. Louis","BAYSHORE RESIDENCE & REHAB CTR",33,NA,31,2
"4223","MN","St. Louis","BENEDICTINE HEALTH CENTER",2,1,1,1
"4224","MN","St. Louis","BOUNDARY WATERS CARE CENTER",8,NA,NA,1
"4225","MN","St. Louis","CHRIS JENSEN HEALTH & REHABILITATION CENTER",37,NA,40,31
