"","Provider.State","County","Provider.Name","Number_of_Available_Beds_by_Provider","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"6778","MI","Genesee","ARGENTINE CARE CENTER",776,NA,NA,NA
"6779","MI","Genesee","CARETEL INNS OF LINDEN",439,NA,NA,NA
"6780","MI","Genesee","FENTON HEALTHCARE",544,NA,NA,NA
"6781","MI","Genesee","GENESYS SHORT-TERM REHABILITATION CENTER",274,NA,NA,NA
"6782","MI","Genesee","HEARTLAND HEALTH CARE CENTER-BRIARWOOD",2293,NA,NA,NA
"6783","MI","Genesee","HEARTLAND HEALTH CARE CENTER-FOSTRIAN",2382,NA,NA,NA
"6784","MI","Genesee","HERITAGE MANOR HEALTHCARE CENT",2781,NA,NA,NA
"6785","MI","Genesee","KITH HAVEN",2495,NA,NA,NA
"6786","MI","Genesee","MAPLE WOODS MANOR",2437,NA,NA,NA
"6787","MI","Genesee","MEDILODGE OF GRAND BLANC",3306,2328,4,0.002
"6788","MI","Genesee","MEDILODGE OF MONTROSE INC",1689,NA,NA,NA
"6789","MI","Genesee","REGENCY AT GRAND BLANC",1490,NA,NA,NA
"6790","MI","Genesee","THE OAKS AT WOODFIELD",161,NA,NA,NA
"6791","MI","Genesee","WELLBRIDGE OF FENTON",1517,NA,NA,NA
"6792","MI","Genesee","WELLBRIDGE OF GRAND BLANC",2474,NA,NA,NA
"6793","MI","Genesee","WILLOWBROOK MANOR",1665,NA,NA,NA
"6794","MI","Gladwin","GLADWIN NURSING AND REHABILITATION COMMUNITY",874,NA,NA,NA
"6795","MI","Gladwin","GLADWIN PINES NURSING AND REHABILITATION CENTER",807,470,0,0
"6796","MI","Gogebic","GOGEBIC MEDICAL CARE FACILITY",956,NA,NA,NA
"6797","MI","Gogebic","WESTGATE NURSING & REHAB COMMUNITY",524,NA,NA,NA
"6798","MI","Grand Traverse","GRAND TRAVERSE PAVILIONS",2067,NA,NA,NA
"6799","MI","Grand Traverse","MEDILODGE OF GTC",1676,NA,NA,NA
"6800","MI","Grand Traverse","MEDILODGE OF TRAVERSE CITY",1164,NA,NA,NA
"6801","MI","Grand Traverse","THE VILLA AT TRAVERSE POINT",862,NA,NA,NA
"6802","MI","Gratiot","ASHLEY CARE CENTER",570,NA,NA,NA
"6803","MI","Gratiot","LAURELS OF FULTON,THE",462,NA,NA,NA
"6804","MI","Gratiot","MICHIGAN MASONIC HOME",2862,307,0,0
"6805","MI","Gratiot","RIVERSIDE HEALTHCARE CENTER",370,NA,NA,NA
"6806","MI","Gratiot","SCHNEPP SENIOR CARE AND REHAB CENTER",733,NA,NA,NA
"6807","MI","Gratiot","WARWICK LIVING CENTER",350,NA,NA,NA
"6808","MI","Hillsdale","HILLSDALE CO MEDICAL CARE FACI",1681,NA,NA,NA
"6809","MI","Hillsdale","HILLSDALE HOSPITAL MCGUIRE AND MACRITCHIE LTCU",330,NA,NA,NA
"6810","MI","Houghton","CANAL VIEW - HOUGHTON COUNTY",1414,NA,NA,NA
"6811","MI","Houghton","GREENTREE OF HUBBELL REHAB AND HEALTH",964,NA,NA,NA
"6812","MI","Houghton","MISSION POINT NSG & PHY REHAB CTR OF HANCOCK",425,NA,NA,NA
"6813","MI","Houghton","PORTAGEPOINTE",117,NA,NA,NA
"6814","MI","Huron","COURTNEY MANOR",220,NA,NA,NA
"6815","MI","Huron","HURON CO MED CARE FACILITY",916,NA,NA,NA
"6816","MI","Huron","LAKEVIEW EXTENDED CARE AND REHAB",380,NA,NA,NA
"6817","MI","Huron","SCHEURER HOSPITAL LTCU",109,NA,NA,NA
"6818","MI","Ingham","ARIA NURSING AND REHAB",449,NA,NA,NA
"6819","MI","Ingham","BURCHAM HILLS RETIREMENT CTR",1865,NA,NA,NA
"6820","MI","Ingham","HOLT SENIOR CARE AND REHAB CENTER, L L C",1037,NA,NA,NA
"6821","MI","Ingham","INGHAM COUNTY MEDICAL CARE FAC",1761,NA,NA,NA
"6822","MI","Ingham","MEDILODGE OF CAMPUS AREA",1480,NA,NA,NA
"6823","MI","Ingham","MEDILODGE OF CAPITAL AREA",1610,NA,NA,NA
"6824","MI","Ingham","MEDILODGE OF EAST LANSING",1997,1111,3,0.003
"6825","MI","Ingham","MEDILODGE OF OKEMOS",1750,NA,NA,NA
"6826","MI","Ingham","THE WILLOWS AT OKEMOS",739,NA,NA,NA
"6827","MI","Ionia","MISSION POINT NSG & PHYSICAL REHAB CTR OF BELDING",1867,NA,NA,NA
"6828","MI","Ionia","SKLD IONIA",1479,NA,NA,NA
"6829","MI","Iosco","IOSCO CO MEDICAL CARE FACILITY",1040,NA,NA,NA
"6830","MI","Iosco","LAKEVIEW MANOR HEALTHCARE CENTER",86,NA,NA,NA
"6831","MI","Iosco","MEDILODGE OF TAWAS CITY",1206,NA,NA,NA
"6832","MI","Iron","IRON CO MEDICAL CARE FACILITY",2735,NA,NA,NA
"6833","MI","Iron","IRON RIVER CARE CENTER",842,NA,NA,NA
"6834","MI","Isabella","ISABELLA CO MEDICAL CARE FACIL",1074,NA,NA,NA
"6835","MI","Isabella","LAURELS OF MT. PLEASANT (THE)",250,NA,NA,NA
"6836","MI","Isabella","MEDILODGE OF MT PLEASANT",1992,NA,NA,NA
"6837","MI","Jackson","ALLEGRA NURSING AND REHAB",1228,NA,NA,NA
"6838","MI","Jackson","ARBOR MANOR CARE CENTER",2937,NA,NA,NA
"6839","MI","Jackson","COUNTRYSIDE CARE CENTER",2118,NA,NA,NA
"6840","MI","Jackson","FAITH HAVEN SENIOR CARE CENTRE",1111,NA,NA,NA
"6841","MI","Jackson","JACKSON COUNTY MEDICAL CARE FACILITY",878,NA,NA,NA
"6842","MI","Jackson","MISSION POINT HEALTH CAMPUS OF JACKSON",329,NA,NA,NA
"6843","MI","Jackson","VISTA GRANDE VILLA",1368,NA,NA,NA
"6844","MI","Kalamazoo","ALAMO NURSING HOME INC",985,NA,NA,NA
"6845","MI","Kalamazoo","BORGESS GARDENS",1388,NA,NA,NA
"6846","MI","Kalamazoo","FRIENDSHIP VILLAGE",723,NA,NA,NA
"6847","MI","Kalamazoo","HAROLD AND GRACE UPJOHN COMMUNITY CARE CENTER",531,NA,NA,NA
"6848","MI","Kalamazoo","LAURELS OF GALESBURG (THE)",66,NA,NA,NA
"6849","MI","Kalamazoo","MEDILODGE OF KALAMAZOO",2469,NA,NA,NA
"6850","MI","Kalamazoo","MEDILODGE OF PORTAGE",1111,NA,NA,NA
"6851","MI","Kalamazoo","MEDILODGE OF WESTWOOD",1417,NA,NA,NA
"6852","MI","Kalamazoo","PLAINWELL PINES NURSING AND REHABILITATION COMMUNI",335,NA,NA,NA
"6853","MI","Kalamazoo","THE SPRINGS AT THE FOUNTAINS",524,NA,NA,NA
"6854","MI","Kalkaska","KALKASKA MEMORIAL HEALTH CENTER",713,NA,NA,NA
"6855","MI","Kent","BEACON HILL AT EASTGATE",120,NA,NA,NA
"6856","MI","Kent","BROOKCREST",1360,NA,NA,NA
"6857","MI","Kent","CLARK RETIREMENT COMMUNITY",147,NA,NA,NA
"6858","MI","Kent","COVENANT VILLAGE OF THE GREAT LAKES",300,NA,NA,NA
"6859","MI","Kent","EDISON CHRISTIAN HEALTH CENTER",1801,NA,NA,NA
"6860","MI","Kent","HEALTHBRIDGE POST-ACUTE REHABILITATION",511,NA,NA,NA
"6861","MI","Kent","HOLLAND HOME - RAYBROOK MANOR",1228,NA,NA,NA
"6862","MI","Kent","HOLLAND HOME BRETON REHABILITATION & LIVING CENTRE",628,NA,NA,NA
"6863","MI","Kent","LAURELS OF KENT (THE)",2030,NA,NA,NA
"6864","MI","Kent","MARY FREE BED SUB-ACUTE REHABILITATION",485,NA,NA,NA
"6865","MI","Kent","MEDILODGE OF WYOMING",225,NA,NA,NA
"6866","MI","Kent","MISSION POINT NRSG & PHY REHAB CTR OF FOREST HILLS",120,NA,NA,NA
"6867","MI","Kent","MISSION POINT NSG & PHY REHAB CTR OF CEDAR SPRINGS",830,NA,NA,NA
"6868","MI","Kent","PILGRIM MANOR",451,NA,NA,NA
"6869","MI","Kent","PORTER HILLS HEALTH CENTER",896,NA,NA,NA
"6870","MI","Kent","SAMARITAS SENIOR LIVING GRAND RAPIDS LODGE",2474,NA,NA,NA
"6871","MI","Kent","SKLD BELTLINE",1867,NA,NA,NA
"6872","MI","Kent","SKLD LEONARD",297,NA,NA,NA
"6873","MI","Kent","SKLD WYOMING",503,NA,NA,NA
"6874","MI","Kent","SPECTRUM HEALTH REHAB & NURSING CENTER-FULLER AVE",3146,NA,NA,NA
"6875","MI","Kent","SPECTRUM HEALTH REHAB AND NURSING CENTER",1779,NA,NA,NA
"6876","MI","Kent","ST ANNS HOME",560,NA,NA,NA
"6877","MI","Kent","THE OAKS AT BYRON CENTER",458,NA,NA,NA
"6878","MI","Kent","VALLEY HEALTH CENTER",128,NA,NA,NA
"6879","MI","Kent","VALLEY VIEW CARE CENTER",1291,NA,NA,NA
"6880","MI","Lake","GRAND OAKS NURSING CENTER",927,NA,NA,NA
"6881","MI","Lapeer","LAPEER COUNTY MEDICAL CARE FAC",873,NA,NA,NA
"6882","MI","Lapeer","MCLAREN LAPEER REGION",317,NA,NA,NA
"6883","MI","Lapeer","STONEGATE HEALTH CAMPUS",697,NA,NA,NA
"6884","MI","Lapeer","THE VILLAGES OF LAPEER NURSING & REHABILITATION",1299,NA,NA,NA
"6885","MI","Leelanau","MAPLE VALLEY NURSING HOME",257,NA,NA,NA
"6886","MI","Leelanau","MEDILODGE OF LEELANAU",513,NA,NA,NA
"6887","MI","Leelanau","ORCHARD CREEK SKILLED NURSING",379,NA,NA,NA
"6888","MI","Lenawee","LENAWEE MEDICAL CARE FACILITY",1907,NA,NA,NA
"6889","MI","Lenawee","LYNWOOD MANOR HEALTHCARE CENTER",963,NA,NA,NA
"6890","MI","Lenawee","PROVINCIAL HOUSE OF ADRIAN",2161,0,0,NA
"6891","MI","Lenawee","THE OASIS AT ADRIAN REHABILITATION AND NURSING CTR",1739,NA,NA,NA
"6892","MI","Livingston","CARETEL INNS OF BRIGHTON",1190,NA,NA,NA
"6893","MI","Livingston","MEDILODGE OF HOWELL",1883,NA,NA,NA
"6894","MI","Livingston","MEDILODGE OF LIVINGSTON",2221,930,0,0
"6895","MI","Livingston","THE WILLOWS AT HOWELL",413,NA,NA,NA
"6896","MI","Livingston","WELLBRIDGE OF BRIGHTON",733,NA,NA,NA
"6897","MI","Livingston","WELLBRIDGE OF PINCKNEY",1017,NA,NA,NA
"6898","MI","Luce","HELEN NEWBERRY JOY HOSPITAL LTCU",452,NA,NA,NA
"6899","MI","Mackinac","MACKINAC STRAITS LONG TERM CARE UNIT",41,NA,NA,NA
"6900","MI","Macomb","ADVANTAGE LIVING CENTER - ARMADA",460,NA,NA,NA
"6901","MI","Macomb","ADVANTAGE LIVING CENTER - ROSEVILLE",2709,NA,NA,NA
"6902","MI","Macomb","ADVANTAGE LIVING CENTER - WARREN",2074,NA,NA,NA
"6903","MI","Macomb","AUTUMN WOODS RESIDENTIAL HLTH",3772,275,0,0
"6904","MI","Macomb","CHURCH OF CHRIST CARE CENTER",1782,NA,NA,NA
"6905","MI","Macomb","CLINTON AIRE HEALTHCARE CENTER",988,NA,NA,NA
"6906","MI","Macomb","FATHER MURRAY, A VILLA CENTER",1905,NA,NA,NA
"6907","MI","Macomb","HEARTLAND HEALTH CARE CENTER - STERLING HEIGHTS",3557,NA,NA,NA
"6908","MI","Macomb","LAKEPOINTE SENIOR CARE AND REHAB CENTER, L L C",1619,NA,NA,NA
"6909","MI","Macomb","LAKESIDE MANOR NURSING AND REHABILITATION CENTER",919,NA,NA,NA
"6910","MI","Macomb","MARTHA T BERRY MCF",1683,NA,NA,NA
"6911","MI","Macomb","MEDILODGE OF RICHMOND",1371,NA,NA,NA
"6912","MI","Macomb","MEDILODGE OF SHORELINE",977,NA,NA,NA
"6913","MI","Macomb","MEDILODGE OF STERLING HEIGHTS",4182,NA,NA,NA
"6914","MI","Macomb","ORCHARD GROVE HEALTH CAMPUS",496,NA,NA,NA
"6915","MI","Macomb","POMEROY LIVING STERLING SKILLED REHABILITATION",3249,NA,NA,NA
"6916","MI","Macomb","REGENCY AT SHELBY TOWNSHIP",782,NA,NA,NA
"6917","MI","Macomb","REGENCY AT ST CLAIR SHORES",649,NA,NA,NA
"6918","MI","Macomb","REGENCY MANOR NURSING & REHABILITATION CENTER",616,NA,NA,NA
"6919","MI","Macomb","SANCTUARY AT FRASER VILLA",2410,NA,NA,NA
"6920","MI","Macomb","SHELBY CROSSING HEALTH CAMPUS",736,NA,NA,NA
"6921","MI","Macomb","SHELBY HEALTH AND REHABILITATION CENTER",2781,NA,NA,NA
"6922","MI","Macomb","SHOREPOINTE NURSING CENTER",2718,NA,NA,NA
"6923","MI","Macomb","ST ANTHONY HEALTHCARE CENTER",287,NA,NA,NA
"6924","MI","Macomb","THE VILLA AT CITY CENTER",462,NA,NA,NA
"6925","MI","Macomb","THE VILLAGE OF EAST HARBOR",1798,NA,NA,NA
"6926","MI","Macomb","WARREN WOODS HEALTH AND REHABILITATION CENTER",2264,NA,NA,NA
"6927","MI","Macomb","WELLBRIDGE OF ROMEO, LLC",1676,NA,NA,NA
"6928","MI","Macomb","WINDEMERE PARK HEALTH AND REHAB CENTER",1537,NA,NA,NA
"6929","MI","Manistee","MANISTEE COUNTY MEDICAL CARE FACILITY",1600,NA,NA,NA
"6930","MI","Marquette","DJ JACOBETTI HOME FOR VETERANS",1737,NA,NA,NA
"6931","MI","Marquette","EASTWOOD NURSING CENTER",734,NA,NA,NA
"6932","MI","Marquette","MARQUETTE COUNTY MEDICAL CARE FACILITY",1113,NA,NA,NA
"6933","MI","Marquette","MISSION POINT NSG & PHY REHAB CTR OF ISHPEMING",1548,NA,NA,NA
"6934","MI","Marquette","NORLITE NURSING CENTER",1920,NA,NA,NA
"6935","MI","Mason","MEDILODGE OF LUDINGTON",1150,NA,NA,NA
"6936","MI","Mason","OAKVIEW MEDICAL CARE FACILITY",860,NA,NA,NA
"6937","MI","Mecosta","ALTERCARE OF BIG RAPIDS CTR FOR REHAB & NURSING CA",1673,NA,NA,NA
"6938","MI","Mecosta","MISSION POINT NSG & PHY REHAB CTR OF BIG RAPIDS",1236,NA,NA,NA
"6939","MI","Menominee","MENOMINEE HEALTH SERVICES",827,NA,NA,NA
"6940","MI","Menominee","PINECREST MEDICAL CARE FACILITY",1016,NA,NA,NA
"6941","MI","Menominee","ROUBAL CARE AND REHAB CENTER",185,NA,NA,NA
"6942","MI","Midland","BRITTANY MANOR",2445,NA,NA,NA
"6943","MI","Midland","MEDILODGE OF MIDLAND",1539,NA,NA,NA
"6944","MI","Midland","STRATFORD PINES NURSING AND REHABILITATION CENTER",1146,NA,NA,NA
"6945","MI","Missaukee","AUTUMNWOOD OF MCBAIN",1203,NA,NA,NA
"6946","MI","Monroe","FOUNTAIN VIEW OF MONROE",757,NA,NA,NA
"6947","MI","Monroe","HICKORY RIDGE OF TEMPERANCE",259,NA,NA,NA
"6948","MI","Monroe","IHM SENIOR LIVING COMMUNITY",561,NA,NA,NA
"6949","MI","Monroe","MEDILODGE OF MONROE",942,NA,NA,NA
"6950","MI","Monroe","PROMEDICA MONROE SKILLED NURSING AND REHAB",787,NA,NA,NA
"6951","MI","Monroe","THE OASIS AT MONROE REHABILITATION AND NURSING CTR",2069,NA,NA,NA
"6952","MI","Monroe","WELLSPRING LUTHERAN  NURSING AND REHAB SERVICES",1606,NA,NA,NA
"6953","MI","Montcalm","LAURELS OF CARSON CITY",546,NA,NA,NA
"6954","MI","Montcalm","MISSION POINT NSG & PHY REHAB CTR OF GREENVILLE",1410,342,32,0.094
"6955","MI","Montcalm","SPECTRUM HEALTH REHAB & NSG CTRS-KELSEY HOSPITAL",389,NA,NA,NA
"6956","MI","Montcalm","SPECTRUM HEALTH REHAB & NSG CTRS-UNITED HOSPITAL",396,NA,NA,NA
"6957","MI","Montmorency","MEDILODGE OF HILLMAN",138,NA,NA,NA
"6958","MI","Muskegon","CHRISTIAN CARE NURSING CENTER",1166,NA,NA,NA
"6959","MI","Muskegon","HILLCREST NURSING AND REHABILITATION COMMUNITY",127,NA,NA,NA
"6960","MI","Muskegon","LAKE WOODS NURSING & REHABILITATION CENTER",1403,NA,NA,NA
"6961","MI","Muskegon","ROOSEVELT PARK NURSING AND REHABILITATION COMMUNIT",327,NA,NA,NA
"6962","MI","Muskegon","SANCTUARY AT MCAULEY",1556,NA,NA,NA
"6963","MI","Muskegon","SANCTUARY AT THE PARK",622,NA,NA,NA
"6964","MI","Muskegon","SKLD MUSKEGON",893,NA,NA,NA
"6965","MI","Muskegon","SKLD WHITEHALL",1994,NA,NA,NA
"6966","MI","Newaygo","NEWAYGO CO MEDICAL CARE FACILI",1753,NA,NA,NA
"6967","MI","Newaygo","REGENCY AT FREMONT",2445,NA,NA,NA
"6968","MI","Oakland","BEAUMONT REHAB & CONTINUING CARE FARMINGTON HILLS",3687,NA,NA,NA
"6969","MI","Oakland","BELLBROOK",1423,NA,NA,NA
"6970","MI","Oakland","BLOOMFIELD ORCHARD VILLA",462,NA,NA,NA
"6971","MI","Oakland","CAMBRIDGE EAST HEALTHCARE CENTER",3332,NA,NA,NA
"6972","MI","Oakland","CAMBRIDGE NORTH HEALTHCARE CENTER",1710,NA,NA,NA
"6973","MI","Oakland","CAMBRIDGE SOUTH HEALTHCARE CTR",2115,NA,NA,NA
"6974","MI","Oakland","CANTERBURY ON THE LAKE",2262,NA,NA,NA
"6975","MI","Oakland","CATHERINE'S PLACE",245,NA,NA,NA
"6976","MI","Oakland","CLARKSTON SPECIALTY HEALTHCARE CENTER",1976,NA,NA,NA
"6977","MI","Oakland","EVERGREEN HEALTH AND REHABILITATION CENTER",2384,NA,NA,NA
"6978","MI","Oakland","FOX RUN VILLAGE",922,NA,NA,NA
"6979","MI","Oakland","GREENFIELD REHAB AND NURSING CENTER",2133,NA,NA,NA
"6980","MI","Oakland","HEARTLAND HEALTH CARE CENTER-OAKLAND",3666,NA,NA,NA
"6981","MI","Oakland","LAHSER HILLS CARE CENTRE",2021,NA,NA,NA
"6982","MI","Oakland","LAKE ORION NURSING CENTER",1627,NA,NA,NA
"6983","MI","Oakland","LAKELAND CENTER (THE)",1075,107,1,0.009
"6984","MI","Oakland","LOURDES REHABILITATION AND HEALTHCARE CENTER",1025,NA,NA,NA
"6985","MI","Oakland","MAPLE MANOR REHAB CENTER OF NOVI INC",1528,166,0,0
"6986","MI","Oakland","MARVIN & BETTY DANTO FAMILY HEALTH CARE CENTER",2588,NA,NA,NA
"6987","MI","Oakland","MEDILODGE OF FARMINGTON",2245,1094,342,0.313
"6988","MI","Oakland","MEDILODGE OF MILFORD",692,NA,NA,NA
"6989","MI","Oakland","MEDILODGE OF ROCHESTER HILLS, INC",3093,0,0,NA
"6990","MI","Oakland","MEDILODGE OF SOUTHFIELD",2843,NA,NA,NA
"6991","MI","Oakland","MISSION POINT NURSING AND REHAB CENTER OF HOLLY",568,NA,NA,NA
"6992","MI","Oakland","NOTTING HILL OF WEST BLOOMFIELD",89,NA,NA,NA
"6993","MI","Oakland","NOVI LAKES HEALTH CAMPUS",530,NA,NA,NA
"6994","MI","Oakland","OAKLAND MANOR NURSING & REHAB CENTER LLC",430,NA,NA,NA
"6995","MI","Oakland","OAKLAND NURSING CENTER",612,0,0,NA
"6996","MI","Oakland","OAKRIDGE MANOR NURSING & REHAB CENTER LLC",1645,NA,NA,NA
"6997","MI","Oakland","REGENCY AT WATERFORD",1312,NA,NA,NA
"6998","MI","Oakland","SKLD BLOOMFIELD HILLS",1118,NA,NA,NA
"6999","MI","Oakland","SKLD WEST BLOOMFIELD",1559,NA,NA,NA
"7000","MI","Oakland","SOUTH LYON SENIOR CARE AND REHAB CENTER, L L C",741,NA,NA,NA
"7001","MI","Oakland","THE MANOR OF FARMINGTON HILLS",742,NA,NA,NA
"7002","MI","Oakland","THE MANOR OF NOVI",702,NA,NA,NA
"7003","MI","Oakland","THE NEIGHBORHOODS OF WHITE LAKE",294,NA,NA,NA
"7004","MI","Oakland","THE VILLA AT GREEN LAKE ESTATES",827,NA,NA,NA
"7005","MI","Oakland","THE VILLA AT SILVERBELL ESTATES",1206,NA,NA,NA
"7006","MI","Oakland","WELLBRIDGE OF CLARKSTON",2460,NA,NA,NA
"7007","MI","Oakland","WELLBRIDGE OF NOVI, LLC",1676,NA,NA,NA
"7008","MI","Oakland","WELLBRIDGE OF ROCHESTER HILLS",1310,NA,NA,NA
"7009","MI","Oakland","WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER",2925,NA,NA,NA
"7010","MI","Oakland","WEST HICKORY HAVEN",923,NA,NA,NA
"7011","MI","Oakland","WESTLAKE HEALTH CAMPUS",629,NA,NA,NA
"7012","MI","Oakland","WOODWARD HILLS HEALTH AND REHABILITATION CTR",3440,NA,NA,NA
"7013","MI","Oceana","OCEANA CO MD CARE FACILITY",1464,NA,NA,NA
"7014","MI","Ogemaw","THE VILLA AT ROSE CITY",1671,NA,NA,NA
"7015","MI","Ogemaw","THE VILLA AT WEST BRANCH",621,NA,NA,NA
"7016","MI","Ontonagon","ASPIRUS ONTONAGON HOSPITAL, INC",423,NA,NA,NA
"7017","MI","Osceola","SPECTRUM HEALTH - REED CITY CA",385,NA,NA,NA
"7018","MI","Oscoda","WELLSPRING LUTHERAN SERVICES",293,NA,NA,NA
"7019","MI","Otsego","MEDILODGE OF GAYLORD",1115,720,3,0.004
"7020","MI","Otsego","MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL LTCU",404,NA,NA,NA
"7021","MI","Ottawa","ALLENDALE NURSING AND REHABILITATION COMMUNITY",260,NA,NA,NA
"7022","MI","Ottawa","HALLMARK LIVING HOLLAND",611,NA,NA,NA
"7023","MI","Ottawa","HERITAGE NURSING AND REHABILITATION COMMUNITY",154,NA,NA,NA
"7024","MI","Ottawa","INN AT FREEDOM VILLAGE, THE",991,NA,NA,NA
"7025","MI","Ottawa","LAURELS OF HUDSONVILLE (THE)",1030,NA,NA,NA
"7026","MI","Ottawa","MEDILODGE AT THE SHORE",1243,NA,NA,NA
"7027","MI","Ottawa","MEDILODGE OF HOLLAND",324,NA,NA,NA
"7028","MI","Ottawa","MISSION POINT NSG & PHYSICAL REHAB CTR OF LAMONT",257,NA,NA,NA
"7029","MI","Ottawa","NORTH OTTAWA CARE CENTER",1149,NA,NA,NA
"7030","MI","Ottawa","RIVERSIDE NURSING CENTRE",281,NA,NA,NA
"7031","MI","Ottawa","SKLD ZEELAND",682,NA,NA,NA
"7032","MI","Presque Isle","MEDILODGE OF ROGERS CITY",1849,NA,NA,NA
"7033","MI","Roscommon","KING NURSING & REHABILITATION COMMUNITY",927,NA,NA,NA
"7034","MI","Roscommon","MISSION POINT NSG & PHY REHAB CTR OF ROSCOMMON",327,NA,NA,NA
"7035","MI","Saginaw","AVISTA NURSING AND REHAB",1410,0,0,NA
"7036","MI","Saginaw","CHESANING NURSING AND REHABILITATION CENTER",345,NA,NA,NA
"7037","MI","Saginaw","COVENANT MEDICAL CENTER,  INC",324,NA,NA,NA
"7038","MI","Saginaw","GREAT LAKES REHAB CENTER",757,NA,NA,NA
"7039","MI","Saginaw","HEALTHSOURCE SAGINAW, INC",1558,0,0,NA
"7040","MI","Saginaw","HOYT NURSING & REHAB CENTRE",1503,NA,NA,NA
"7041","MI","Saginaw","MEDILODGE OF FRANKENMUTH",1963,NA,NA,NA
"7042","MI","Saginaw","ST FRANCIS HOME",980,NA,NA,NA
"7043","MI","Saginaw","WELLSPRING LUTHERAN SERVICES",1998,NA,NA,NA
"7044","MI","Sanilac","AUTUMNWOOD OF DECKERVILLE",613,NA,NA,NA
"7045","MI","Sanilac","MARLETTE COMM HOSP LTCU",168,NA,NA,NA
"7046","MI","Sanilac","SANILAC MEDICAL CARE FACILITY",1491,NA,NA,NA
"7047","MI","Schoolcraft","SCHOOLCRAFT MEDICAL CARE FACILITY",1259,NA,NA,NA
"7048","MI","Shiawassee","DURAND SENIOR CARE AND REHAB CENTER, L L C",2189,NA,NA,NA
"7049","MI","Shiawassee","MEMORIAL HEALTHCARE CENTER LTC",96,NA,NA,NA
"7050","MI","Shiawassee","PLEASANT VIEW SHIAWASSEE COUNTY MED CARE FAC",574,NA,NA,NA
"7051","MI","St. Clair","MARWOOD MANOR NURSING HOME",1924,NA,NA,NA
"7052","MI","St. Clair","MEDILODGE OF PORT HURON",762,NA,NA,NA
"7053","MI","St. Clair","MEDILODGE OF ST CLAIR",3339,NA,NA,NA
"7054","MI","St. Clair","MEDILODGE OF YALE, INC",1414,NA,NA,NA
"7055","MI","St. Clair","REGENCY ON THE LAKE - FORT GRATIOT",916,NA,NA,NA
"7056","MI","St. Joseph","FAIRVIEW NURSING AND REHABILITATION COMMUNITY",696,NA,NA,NA
"7057","MI","St. Joseph","FROH COMMUNITY HOME",1824,NA,NA,NA
"7058","MI","St. Joseph","GRACE HEALTHCARE OF THREE RIVERS",1635,NA,NA,NA
"7059","MI","St. Joseph","HEARTLAND HEALTH CARE CENTER-THREE RIVERS",1378,NA,NA,NA
"7060","MI","Tuscola","FISHER SENIOR CARE AND REHAB",488,NA,NA,NA
"7061","MI","Tuscola","MEDILODGE OF CASS CITY",1130,NA,NA,NA
"7062","MI","Tuscola","TUSCOLA COUNTY MEDICAL CARE FACILITY",1096,NA,NA,NA
"7063","MI","Van Buren","BRONSON COMMONS",473,NA,NA,NA
"7064","MI","Van Buren","GRACEWAY AT COUNTRYSIDE",1469,NA,NA,NA
"7065","MI","Van Buren","MEADOW WOODS NURSING AND REHAB CENTER",760,NA,NA,NA
"7066","MI","Van Buren","SOUTH HAVEN NURSING AND REHABILITATION COMMUNITY",758,NA,NA,NA
"7067","MI","Washtenaw","CARE AND REHABILITATION CENTER AT GLACIER HILLS",1564,NA,NA,NA
"7068","MI","Washtenaw","CHELSEA RETIREMENT COMMUNITY",844,NA,NA,NA
"7069","MI","Washtenaw","EVANGELICAL HOME - SALINE",3463,NA,NA,NA
"7070","MI","Washtenaw","GILBERT RESIDENCE (THE)",308,NA,NA,NA
"7071","MI","Washtenaw","HEARTLAND HEALTH CARE CENTER-ANN ARBOR",3111,NA,NA,NA
"7072","MI","Washtenaw","REGENCY AT BLUFFS PARK",482,NA,NA,NA
"7073","MI","Washtenaw","REGENCY AT WHITMORE LAKE",1199,NA,NA,NA
"7074","MI","Washtenaw","SUPERIOR WOODS HEALTHCARE CENTER",1339,NA,NA,NA
"7075","MI","Washtenaw","THE VILLA AT PARKRIDGE",1199,NA,NA,NA
"7076","MI","Wayne","ABERDEEN REHABILITATION AND SKILLED NURSING CENTER",340,NA,NA,NA
"7077","MI","Wayne","ADVANTAGE LIVING CENTER - HARPER WOODS",2006,NA,NA,NA
"7078","MI","Wayne","ADVANTAGE LIVING CENTER - NORTHWEST",2136,NA,NA,NA
"7079","MI","Wayne","ADVANTAGE LIVING CENTER - REDFORD",983,NA,NA,NA
"7080","MI","Wayne","ADVANTAGE LIVING CENTER - SAMARITAN",1749,NA,NA,NA
"7081","MI","Wayne","ADVANTAGE LIVING CENTER - SOUTHGATE",1381,0,0,NA
"7082","MI","Wayne","ADVANTAGE LIVING CENTER - WAYNE",3442,NA,NA,NA
"7083","MI","Wayne","AERIUS HEALTH CENTER",964,NA,NA,NA
"7084","MI","Wayne","AMBASSADOR, A VILLA CENTER",1942,NA,NA,NA
"7085","MI","Wayne","APPLEWOOD NURSING CENTER INC",1188,NA,NA,NA
"7086","MI","Wayne","BEACONSHIRE NURSING CENTRE",1080,NA,NA,NA
"7087","MI","Wayne","BEAUMONT REHABILITATION & CONTINUING CARE DEARBORN",5258,0,0,NA
